up,down,total,up10,down10,ROC
8,79,87,47.2,42.7,52.5027808676307
69,19,89,49.7,39.8,55.53072625698324
13,77,90,46.9,42.4,52.51959686450167
0,90,90,40.2,49.0,45.06726457399103
54,35,90,40.7,48.3,45.73033707865169
83,7,90,44.6,44.3,50.16872890888639
8,82,91,39.5,49.4,44.43194600674916
1,88,89,34.1,54.8,38.35770528683915
17,71,89,29.1,59.8,32.73340832395951
86,3,89,33.9,55.1,38.08988764044944
4,85,89,33.5,55.7,37.55605381165919
6,82,89,27.2,62.0,30.493273542600903
1,86,88,26.0,62.9,29.24634420697413
32,56,88,29.2,59.5,32.91995490417136
14,74,88,25.2,63.4,28.442437923250566
1,73,74,17.0,70.0,19.54022988505747
69,0,69,23.1,61.8,27.208480565371033
70,2,72,30.0,53.2,36.05769230769231
76,12,88,35.9,47.3,43.14903846153846
48,40,89,32.1,51.0,38.628158844765345
15,74,90,33.2,49.9,39.951865222623354
69,20,90,39.5,43.7,47.47596153846154
89,1,90,48.3,35.2,57.84431137724551
60,28,91,51.1,32.4,61.19760479041916
62,27,91,55.9,27.7,66.86602870813397
53,36,91,61.1,24.0,71.7978848413631
89,1,90,63.1,24.1,72.36238532110092
15,74,90,57.6,31.3,64.79190101237344
0,90,90,50.0,39.1,56.116722783389456
23,67,90,47.5,41.8,53.19148936170213
85,5,90,54.5,34.9,60.961968680089484
13,75,90,48.9,40.4,54.75923852183651
29,60,90,42.9,46.3,48.09417040358744
30,60,90,39.9,49.5,44.63087248322148
91,0,91,42.8,46.8,47.76785714285714
19,72,92,39.4,50.4,43.87527839643652
35,56,92,34.0,55.9,37.81979977753059
89,3,92,41.4,48.8,45.8980044345898
91,0,91,50.5,39.8,55.92469545957918
41,47,90,52.3,37.8,58.04661487236404
22,69,91,46.0,44.2,50.99778270509977
87,4,91,53.4,37.1,59.005524861878456
54,33,91,55.9,34.4,61.904761904761905
77,13,90,60.6,29.7,67.10963455149502
2,87,89,51.7,38.4,57.38068812430633
74,14,89,57.2,32.6,63.69710467706013
14,74,89,55.1,34.4,61.564245810055866
2,87,89,46.4,42.8,52.017937219730946
0,89,89,37.3,51.7,41.91011235955056
3,86,89,33.5,55.6,37.59820426487093
28,61,89,34.1,54.8,38.35770528683915
84,4,88,33.8,54.8,38.14898419864559
85,2,87,36.9,51.7,41.64785553047403
25,62,87,31.7,56.6,35.90033975084938
18,68,86,33.3,54.7,37.840909090909086
28,58,87,28.7,59.1,32.6879271070615
52,34,87,32.5,55.1,37.10045662100456
87,0,87,41.0,46.4,46.91075514874142
86,1,87,49.6,37.6,56.88073394495412
12,75,87,50.5,36.5,58.04597701149425
41,40,87,51.8,34.4,60.09280742459397
14,73,87,44.8,41.3,52.032520325203244
0,88,88,36.3,49.9,42.11136890951276
84,3,87,42.2,44.0,48.95591647331786
5,81,86,40.9,45.3,47.44779582366589
67,17,86,44.8,41.2,52.093023255813954
81,3,85,47.7,38.1,55.59440559440559
64,17,85,45.4,39.8,53.286384976525824
7,79,86,37.5,47.6,44.065804935370146
80,6,87,44.3,40.7,52.11764705882353
12,76,88,41.4,44.3,48.30805134189031
67,21,88,46.7,39.1,54.42890442890443
8,80,88,47.5,38.3,55.361305361305355
66,15,88,45.7,39.5,53.63849765258216
85,4,89,53.7,31.8,62.80701754385965
79,8,88,54.9,30.9,63.98601398601399
83,1,86,55.1,30.7,64.21911421911423
61,23,86,54.8,31.3,63.64692218350755
10,75,86,55.1,30.9,64.06976744186048
84,1,85,55.5,30.4,64.61001164144355
78,6,85,62.1,23.4,72.63157894736842
31,51,84,58.5,26.4,68.90459363957598
67,14,84,64.4,19.8,76.48456057007127
7,77,84,58.5,26.0,69.23076923076923
78,6,84,57.8,26.2,68.80952380952381
69,12,83,56.8,26.6,68.10551558752996
54,22,84,53.9,28.7,65.25423728813558
27,57,84,50.5,32.1,61.13801452784504
5,77,85,50.0,32.3,60.75334143377886
61,21,85,47.7,34.3,58.17073170731708
28,55,86,42.7,39.2,52.136752136752136
11,73,85,40.7,41.4,49.57369062119367
43,39,85,38.3,43.9,46.593673965936745
85,0,85,46.1,36.2,56.01458080194411
54,29,85,43.7,38.5,53.16301703163017
82,1,85,45.0,37.4,54.61165048543689
62,18,84,45.8,37.0,55.314009661835755
35,48,84,46.6,36.1,56.348246674727925
57,25,84,51.8,30.9,62.636033857315596
25,59,85,48.2,34.7,58.142340168878164
25,56,84,47.9,34.8,57.920193470374855
66,20,86,53.4,29.5,64.41495778045838
31,51,85,52.2,30.7,62.96743063932448
15,67,85,45.2,37.4,54.721549636803886
78,5,85,47.6,35.0,57.6271186440678
39,39,84,43.3,38.8,52.740560292326435
